Provider ID,Procedure codes/CPT Code,Billing frequency,Patient ID,Total amount,Doctor,Hospital,Diagnosis Report,Discharge Summary,Prescriptions and Bills,Hospital Bills,Insurance Company Name,Fraud history approval/rejection status,Contact Details,Network Partners,Benefits,Policy Number,Policy type,Policy Date,Claim limits,Premium amount,Start Date,End Date,Bank Account,Policy Number (Claim),Policy Holder Name,Address,Phone Number,Email,Covered,Hospitalized Date,Treatment expenses,Claim Documents Submitted,Policy Name
03559968-274a-4541-a821-84d1f1ba0536,CPT-49167,Monthly,4b310602-24a0-41a0-b7aa-ecd44655058c,53971,Wesley Fuller,Klein Inc,Easy upon especially building do.,Off specific wide media finally special.,Protect partner option its reduce indeed former.,9911,Cox-Martin,Approved,+1-481-571-2187,Vega-Roberts,Comprehensive Health Plan,d4712d32-5d77-45fe-b537-328b4d39dbeb,Family,2021-06-24,82793,823,2020-12-13,2021-08-29,GB06WWAQ05914772779332,e55a6991-b487-4a87-8b8b-ccd7bd4646df,Andrea Maddox,"24345 Joshua Place Oliviaborough, GU 71533",4752266230,smithwilliam@example.net,Yes,2022-06-22,2825,Yes,Senior Citizen Health Insurance Plans
5ead15f6-e55c-4db9-9e5b-13ed9f610e03,CPT-16620,Quarterly,c1bfa179-7970-48bb-8f84-0940b2294f24,12115,Kelly Johnson,Newman Group,Continue chance environment rate.,Safe laugh environmental say her collection agency record.,Rich around attorney able last yet.,3803,Ortiz LLC,Approved,001-303-611-7477x13104,Santos-Whitehead,Eye and Vision Care,b905f0ab-9673-45c1-9287-40f07a69b183,Individual,2021-11-28,23393,113,2021-10-29,2022-06-05,GB15SABW83833764233127,4d7bf6e9-ff08-4812-a55f-8ad529138fc8,Dr. James Walker,"1853 John Place Jamesborough, NV 87395",989-908-2380,hamptonthomas@example.com,Yes,2024-12-15,6900,Yes,Senior Citizen Health Insurance Plans
8ab6dd44-164c-425f-8249-a5211dadabf7,CPT-60896,Annually,ea8beb99-32ed-4993-9318-838264d44b38,52497,Robin Wright,Flynn Ltd,Structure should safe wrong record way back challenge.,Smile large between region economy.,Staff nothing prevent find yet attention.,55578,Marks-Mayo,Approved,864-630-3839x36525,Joseph Inc,Critical Disease Specific Plans,e01596b5-7202-4133-84d1-39d133db0edb,Individual,2025-01-26,90672,316,2025-01-06,2025-05-30,GB84LIQI12435581170972,736f291b-e67d-47a9-acab-9d0a3a7229be,Alicia Hayden,"8772 Shelton Islands Stephanieville, AS 41463",331.356.4532,myersandrew@example.net,Yes,2025-01-16,9316,Yes,Disease-Specific Health Insurance Plans
b6590d5a-53d3-4445-8a1d-6d6c8588d6f1,CPT-47886,Annually,459fb00f-2394-4f2a-81d5-b762279c4fe5,46093,Brenda Sexton,"Smith, Castro and Simmons",Position economy smile leg senior so.,Special write what whatever.,Certain president training kind.,79073,"Wagner, Smith and Peterson",Approved,227-665-9329x0310,Cameron-West,Maternity Benefits,2424f17d-2405-41f1-b287-9769fdc2d730,Individual,2024-01-17,64444,653,2023-12-15,2024-11-12,GB97LNYZ53828896249254,d5a6d62b-7205-458d-9b5f-469e74523ab1,Brent Malone,"026 Ortiz Stream Suite 767 Thompsonchester, KY 67842",(730)910-6493x610,maldonadoronald@example.net,Yes,2020-02-02,8204,Yes,Senior Citizen Health Insurance Plans
dc5c5021-7569-4f57-a67e-05daa3fb60fa,CPT-13773,Annually,b00eb11b-a697-45f9-a994-6e568e706960,15266,Joel Bernard,Sanchez Inc,Dog bag shake real break return bag.,Beyond individual way.,Life edge process heavy song sure research.,88374,"Barnes, Washington and Castillo",Approved,+1-798-743-7783x320,Davis PLC,Comprehensive Health Plan,b2e8a6ba-24d1-4e9d-b365-55cbc638633e,Corporate,2025-01-17,15441,606,2024-06-10,2025-02-26,GB77YIPV53894852590264,213a5166-a9d3-46a8-a585-3ab6404c1f6c,Joel Clark,"17752 Salazar Burg Suite 810 East Ashleystad, VI 01524",+1-324-385-2554x36920,desireemolina@example.org,Yes,2022-01-04,7388,Yes,Disease-Specific Health Insurance Plans
5b3b65c3-78d1-4019-b55c-5eaf9a08c330,CPT-95898,Annually,e6010c92-6311-4b7b-9919-b4269c85c83d,7076,Sharon Singh,Fisher-Baldwin,Involve take like two.,General push drop.,Project opportunity give wait.,23339,"Flores, Warren and Welch",Approved,904.775.5512x9176,"Cunningham, Brown and Potts",Comprehensive Health Plan,9dc3396c-0f89-452e-9a8a-b0b02fbd3b8a,Family,2020-03-17,22949,709,2020-01-13,2020-10-31,GB93ZWTS79838633350742,a23cb01e-f9f7-4f08-9842-47d5a556ce21,Gregory Roth,"PSC 3084, Box 5794 APO AP 14058",001-883-570-8335x16578,peter09@example.net,Yes,2024-08-03,7114,Yes,Senior Citizen Health Insurance Plans
97a33ce1-f923-477c-ae31-1e673f6af1ba,CPT-22729,Annually,72f0dcf5-0c0b-41c5-894f-eec622105f30,58562,Kathryn Mcdaniel,"Smith, Walker and Humphrey",Section leader single loss much receive wish.,Serious child lay close water them.,Station tend if.,55281,"Manning, Romero and Richard",Approved,9896755440,Carter and Sons,Maternity Benefits,69cdddf8-013a-4a9d-b9bc-b2524f5b092e,Family,2022-03-19,84897,719,2022-01-30,2022-05-01,GB10YGOV82007731295825,73aeac32-832c-4b03-a7a4-657d505647e1,Corey Porter,"997 Troy Motorway Joelhaven, AL 68973",993.870.3673,aprilwallace@example.org,Yes,2023-09-06,9429,Yes,Senior Citizen Health Insurance Plans
f24ab1e3-53e7-4177-91c9-e040948b393e,CPT-74803,Monthly,5e9253fd-c090-4842-b1ef-90962329a8bd,16472,Natasha Bailey,Wilson Ltd,Interesting position growth action contain today film.,Measure story rise piece outside school.,Sometimes pay street improve sort what year development.,62187,"Davidson, Ryan and Martinez",Approved,(567)598-7274x212,Davis-Jackson,Critical Disease Specific Plans,4684df5e-5e35-4af6-aed7-b3ccca85373f,Family,2021-11-29,72311,980,2021-06-09,2022-01-12,GB61QMID14267216872683,0558360c-f010-4a4d-8bc7-90f6261add40,Lisa Harvey,"829 Matthew Springs Apt. 216 Rebekahfurt, MP 96702",001-396-876-0334x015,gailspencer@example.net,Yes,2020-02-01,4445,Yes,Senior Citizen Health Insurance Plans
9e0f622f-3df3-4cdc-8de2-8c20b4814987,CPT-20638,Monthly,e27ecc04-768b-4d69-a288-948e315c8a3b,27277,Shelby Lee,"Clark, Stafford and Miller",Imagine capital take character food.,Hold good because sea notice miss.,Morning risk miss I job none sit.,71638,"Parrish, Hopkins and Graham",Approved,(609)422-9150x7440,Rodriguez-Erickson,Eye and Vision Care,80891b44-2888-4174-bb3c-113ded182ab4,Individual,2024-11-05,82061,404,2024-08-24,2024-11-22,GB88HNHH26615468782569,a59e34c8-ed03-4410-a121-7364977ab662,Robert Cooper,"96548 Paula Crest Amyshire, UT 50573",255.613.4109,youngmichael@example.net,Yes,2022-10-01,5942,Yes,Senior Citizen Health Insurance Plans
075f5f53-b4d3-4906-8f9c-5d443aa5f66e,CPT-84714,Quarterly,7fa530f6-4e62-4c91-9ab1-7814207fd35c,2048,Morgan Flores,Johnson-Wilson,Drive discover speak tough able take three piece.,Open over store top.,Plant baby meeting number coach.,48826,Potts-Kelly,Approved,262.644.6899x3386,"Herrera, Fox and Palmer",Critical Disease Specific Plans,185c3b18-b5bc-467b-9bca-922b15f851ed,Family,2025-11-18,51896,319,2025-01-12,2025-11-28,GB81NNMD66335608837309,6d5a4cb3-18e2-4396-a4f5-642b5af9a669,Allison Taylor,"328 Larry Motorway Alexanderport, TX 01318",7745342007,shawnflores@example.com,Yes,2020-09-04,6232,Yes,Senior Citizen Health Insurance Plans
68182208-96d1-464e-ace1-fd071815b55f,CPT-73701,Annually,92cd3d2f-7059-48cc-bd9b-055a81d788e9,4488,Teresa Allen,Cisneros Group,Citizen media enter her military set share.,Billion lead suggest media nice.,Role but court pressure with amount.,25401,"Rocha, Reeves and Brown",Approved,502-209-8267x857,"Humphrey, Powers and Dixon",Maternity Benefits,61b6bc92-c1f0-425d-8699-2a51c968b2c3,Individual,2023-08-26,6261,174,2023-05-17,2023-11-28,GB46YQVC61231305881020,9eb7c461-47ef-4da6-9138-d7400d6669b8,Laura Medina,"5534 Coffey Manor Apt. 673 New Katieland, IN 39928",(535)637-0565x2504,stephenjohnston@example.net,Yes,2022-06-12,3243,Yes,Senior Citizen Health Insurance Plans
4966fdaa-4fcf-4245-9d91-1494d83d342b,CPT-58149,Quarterly,fb9b2b11-6bfa-4909-991d-0523786c86e1,5990,Travis Valencia,Carter LLC,Question that contain lot.,Open measure particularly effort.,Heavy bad within of receive.,44015,"Martinez, Montgomery and Conway",Approved,+1-377-677-5855x43929,"Pittman, Gregory and Chavez",Eye and Vision Care,47adc773-384b-4c9c-8366-fbd0aa3cd8d6,Corporate,2024-06-06,10854,323,2024-04-11,2024-07-17,GB84ZCZE45452175731481,935f9023-d994-41d1-b56a-3725a3487570,Christina Ramirez,"41884 Shields Lights New Tammy, IA 99332",001-534-651-6655,plarson@example.com,Yes,2022-12-27,1172,Yes,Disease-Specific Health Insurance Plans
96c96fcb-adab-4bb6-8b4d-2803c74918d4,CPT-89673,Quarterly,22383e55-4b32-4558-8083-ef860633c31b,61901,Juan Parrish,Thompson-Cochran,Ask back within upon happen so.,Once data level act.,Structure instead like help nature argue spend so.,81493,"Smith, Soto and Eaton",Approved,001-347-769-9559x1446,Davis-Morales,Comprehensive Health Plan,16eff53c-fbde-44d0-b886-5ad252ef96ee,Individual,2021-02-09,78661,187,2020-12-12,2021-06-22,GB18DDQY78322116006667,5cdd72d2-5656-4d20-921a-9e67af74d743,Ronald Peterson,"4711 Murphy Rapids Apt. 640 New Anthony, OR 14136",339-859-4791x562,gavin36@example.net,Yes,2023-06-09,9861,Yes,Disease-Specific Health Insurance Plans
643d9eb5-bb2e-4d9e-b8e7-9735d6b2546b,CPT-27574,Annually,8c39df8a-186e-427d-81ae-f6c5d49adce6,1194,Monica Monroe,"Wright, Garrison and Davila",Century wait within talk.,Thus cost important especially ball source.,Citizen again sound do wonder commercial standard most.,21521,Brown-Walsh,Approved,001-856-679-2418,Scott Group,Eye and Vision Care,20fcda56-f67e-4be7-a2ae-1ecc8afa9660,Individual,2023-04-10,15119,787,2022-10-26,2023-04-17,GB24FFYM84628248011895,de41773d-e4f4-41ca-b4ab-1a0bc962b36d,Chad Velasquez,"97603 Smith Throughway Apt. 603 West Joseph, OR 22477",5332912095,tina03@example.com,Yes,2024-03-23,4024,Yes,Senior Citizen Health Insurance Plans
1bc5c76a-588c-4543-8af5-bfa6f61edd3b,CPT-70645,Annually,462e7309-29e4-4a74-9325-31f72a98244b,9520,Brooke Fernandez,Stevenson and Sons,Become might as begin.,Fish appear look film term hope ability tough.,Parent prevent religious fire hit few thought movement.,74632,Hall-Smith,Approved,(399)302-3087x53764,Stanley-Miller,Eye and Vision Care,7a7cde29-ae95-4a9c-99c0-2c4467bbe4c0,Family,2020-07-19,24339,127,2020-02-11,2020-12-25,GB46SYDM94232745991831,4c0ba700-8f2b-4ecf-a05f-1b78bd40d10d,Jessica Wiggins,"56556 Marshall Green New Rebeccatown, GA 59753",+1-326-745-3603,harold35@example.com,Yes,2020-10-18,9715,Yes,Senior Citizen Health Insurance Plans
2479088a-8d2b-4a21-b85c-69d6d7c62359,CPT-20619,Annually,a140232b-9d60-496d-b28c-2ac9799bf3ba,2021,Kent Robinson,Campbell-Holder,Certainly discuss sense such building whom.,Home just way on.,Person scene hard modern.,65733,"Hicks, Mason and White",Approved,555-793-5089x46704,Ray-Baker,Maternity Benefits,d482d6ef-e18c-4d70-85c7-c037845f192e,Family,2020-12-28,17655,662,2020-08-25,2021-08-05,GB30SCLI15904916293121,4c3679e6-05a0-4070-b189-caca1d94f308,Erin Burke,USNV Owens FPO AE 08941,865-744-9050x202,ttorres@example.org,Yes,2023-02-28,2929,Yes,Senior Citizen Health Insurance Plans
6de8c333-457b-4811-85bf-9d3c916b897d,CPT-18968,Quarterly,e85826f2-6aa2-40d7-8dc0-a3e4e6bb32af,54073,Michael Townsend,Walker PLC,Eat care wrong word.,Condition begin ground may standard.,Ability professional opportunity.,77150,"Burke, Butler and Evans",Approved,001-440-870-0127x9258,"Miller, Gordon and Brown",Maternity Benefits,948c7a8d-dcde-4a43-8323-85450c9608c9,Corporate,2024-12-18,69245,289,2024-08-12,2025-04-15,GB46VMSO02430317454085,9311f68a-b1f9-47d9-b7cf-3bd16b9b9172,Timothy Johnson,"25158 Nunez Fords Stewartton, WI 34397",(268)321-4332x6635,yorkmaxwell@example.org,Yes,2024-02-16,7873,Yes,Senior Citizen Health Insurance Plans
1d955d25-c409-4836-9204-c1523e94a0db,CPT-60192,Monthly,544f6eb2-2b35-4b0e-95cb-562bb2fca986,2914,Samuel Hardin,Lee LLC,War send many lead management.,Doctor guess place value front.,Course practice south.,20232,Mcmahon-Lopez,Approved,885.833.4397,Miles Inc,Comprehensive Health Plan,e018da22-5d14-4d08-ba37-5d6fad7d3e63,Family,2022-05-17,13405,697,2022-05-07,2022-06-30,GB10XWZU79179038983918,d1843e25-02e6-4d1e-bcef-fde2ff6ca844,Lauren Navarro,"940 Williamson Harbors New Stacy, WA 60871",(854)729-4064x77902,hbrown@example.net,Yes,2022-09-17,9716,Yes,Senior Citizen Health Insurance Plans
250aaf29-5ca2-435a-9798-d6e7c623bab1,CPT-79458,Quarterly,c94d847e-343d-4efe-8844-c452c3188030,7486,Larry Mcpherson MD,Lewis-Wiley,Choose act free reveal rich yourself.,Nothing probably court fish gun.,Together later partner act fish partner.,94244,Morris-Cohen,Approved,(499)208-0399x18362,"Ellis, Smith and Andrews",Comprehensive Health Plan,5d7bd72e-c9f4-43ea-a1c0-af5ae12480c2,Corporate,2022-02-20,29860,885,2022-01-08,2022-09-21,GB93ZAEL44740406579194,8099e689-b25b-4f47-800c-310266881db9,Ashley Bates,"3519 Robinson Meadow Apt. 971 Leberg, KS 86825",(561)357-0940,tannerkimberly@example.org,Yes,2022-11-18,4890,Yes,Senior Citizen Health Insurance Plans
c1befa01-327e-4467-896b-754e1102cbe3,CPT-54671,Annually,5f9a7a20-c294-42ab-909e-06472b8d7667,17695,William Shannon,Cervantes LLC,International among sister hope last form.,Worker break if him national life.,Blood painting decision outside respond.,68689,Harris-Obrien,Approved,341.394.6465x34069,Anderson-Brady,Critical Disease Specific Plans,03593a04-df6b-4267-b47b-de6c6457e781,Family,2021-08-30,36641,224,2020-12-29,2021-10-02,GB66VQWL22531622135546,137ce624-aca8-4442-bc9a-64a58c51e633,James Watkins,"7235 Butler Springs Caitlinside, NE 23106",794.982.5307,david55@example.com,Yes,2023-04-22,3347,Yes,Disease-Specific Health Insurance Plans
e50beb77-ffe4-4636-8c6a-0a37c6c0d09a,CPT-99511,Monthly,6541aff7-29cd-49e9-ac09-48b78fde3d10,36523,Jennifer Beck,Williams-Holland,Spring once situation quality anything them Republican.,Act push he nor even carry before low.,Commercial toward lose game hot simple.,82649,"Harris, Ramsey and Rodriguez",Approved,829-793-7508,"Herring, Shah and Briggs",Eye and Vision Care,45514bd2-8d83-4667-85c7-a99ea501a5bf,Individual,2024-03-10,43866,645,2024-02-01,2024-05-25,GB48AZDP16398900424041,bfccc2b4-a934-4572-bf08-1c5edfa00e15,Leslie Miller,"1738 Jessica Fort New Krystalfort, NE 25994",9566898201,debbiealexander@example.net,Yes,2024-06-06,7376,Yes,Disease-Specific Health Insurance Plans
11d07b08-229c-4844-82a5-cd5cb32428e6,CPT-15772,Monthly,4a1f2313-91d6-4c8e-b19d-49c6465c5b49,59433,Jamie Wilson,"Reyes, Hanson and Anderson",Second contain pass wide despite others production.,Among would eat appear on off person affect.,Skin early body certainly enjoy.,56487,"Ibarra, Green and Chavez",Approved,409-841-0744x449,"Cox, Bishop and Wood",Critical Disease Specific Plans,b545a4ef-d5df-4518-8170-2b4f3752b79c,Individual,2023-11-29,62766,548,2023-05-22,2024-04-21,GB82QREZ01670861210072,e733aa50-fc48-4d1f-a58e-695e7d3d4afa,James Smith,"422 Christine Flat West Mariaburgh, FM 28180",(251)366-8212,cookgerald@example.net,Yes,2022-03-21,2350,Yes,Disease-Specific Health Insurance Plans
fcea8b66-1ce2-4ae3-8445-f16c3f9657fd,CPT-89729,Monthly,35f1c1d5-f36a-4264-8529-56766a657559,5555,Yvonne Jennings,"Johnson, Black and Spencer",Start black area fire.,Federal dream it station audience.,Budget very amount special give attorney whatever.,35065,Osborne Inc,Approved,451-624-5959,"Baker, Huffman and Barrett",Maternity Benefits,4c3436a5-45a5-4d0d-b5d1-b2ea66c05c1f,Corporate,2021-03-28,8423,344,2021-01-16,2021-06-17,GB21ATTS50477859215185,645a93a3-c5bd-475f-9747-710fbbc2d169,Carla Parker,"993 Rush Hollow West James, VI 77028",001-707-372-4636x6313,jennifer33@example.net,Yes,2021-09-05,8437,Yes,Senior Citizen Health Insurance Plans
3e8c53e9-cf9d-488a-be1f-01914591b982,CPT-27608,Annually,ab06ab13-954f-4205-afba-e80b6c47cd16,29053,Phillip Ayers,"Gonzalez, Jones and Cooley",Investment will she court several.,Possible account term admit develop through.,Significant stuff successful myself agent join learn.,79266,"Gallegos, Sullivan and Douglas",Approved,001-716-577-8471,"Perry, Torres and Clay",Eye and Vision Care,6aaacfda-5adf-47b6-a2ee-17a51efe3bb6,Family,2024-08-13,34728,282,2024-07-19,2024-10-24,GB92PVCN21294344914433,3a317349-c001-44d5-a6e4-8f3c9d89e49d,Caroline Torres,"34569 Warren Vista West Colton, TX 86099",681-365-5319,omoody@example.com,Yes,2022-07-08,1511,Yes,Senior Citizen Health Insurance Plans
8c0bdffa-9b38-4337-9bf8-ce7f9a58e0b0,CPT-71133,Annually,83a59aae-1113-4647-b464-8098c2255526,4337,John Smith,"Salazar, Rivera and Smith",Phone realize again and.,Exactly enjoy talk claim begin.,Sing particularly among sea.,52883,Jones Group,Approved,(341)626-0915,"Calderon, Moore and Andrews",Maternity Benefits,d1c42e00-2574-4ebf-857d-c5c42acc3fd7,Family,2021-09-26,29223,398,2021-02-25,2021-12-29,GB30UDPW69587001426723,1623383a-566a-4d1f-95ba-7a0d5311356c,Christine Lewis,"6759 Renee Viaduct Suite 211 Lake Jesse, VT 56388",7232667106,vanessa60@example.com,Yes,2021-02-02,7728,Yes,Senior Citizen Health Insurance Plans
f4557b15-b60e-48e5-9153-20b568f7adb7,CPT-26462,Monthly,e83e3b86-90af-4fb2-a425-7c5b57137858,9462,Melanie Webb,Valentine-Garcia,Religious I page role left fill rate.,Avoid tax citizen only response party sit contain.,Bring others recently chance have good require cut.,25733,"Lane, Roberson and Downs",Approved,(310)947-3100,"Simmons, Woods and Smith",Eye and Vision Care,499a446c-66d7-45ff-be02-272c9ce55e4e,Corporate,2021-06-25,34591,183,2021-04-05,2021-07-19,GB62OSBX63511408202620,6df5d02e-e0ab-43bb-8a9b-622d110fee0d,Michael Zimmerman,"226 Glenn Mountains Apt. 425 Port Denise, CO 86693",001-517-637-4159x18302,meghanrush@example.com,Yes,2023-06-11,3141,Yes,Disease-Specific Health Insurance Plans
db0485a4-1f44-407e-866f-604631b22893,CPT-44363,Quarterly,2559e9ff-b493-494e-a931-cb06128d7f57,12640,Robert King,"Stephens, Bowen and Malone",Fall whom ready to instead.,Particular image defense employee.,Music fund court instead win do write.,41591,Phillips LLC,Approved,(240)734-1369x14705,Rodriguez-Sanchez,Eye and Vision Care,857139da-994b-483c-9dc6-a7548c3a07d3,Family,2022-04-16,59551,153,2022-02-15,2022-06-30,GB39RKGG77177147803142,37713e2e-26af-4a56-95b8-0896e0425a17,Seth Webster,"15462 Lewis Burgs Apt. 113 South Ericburgh, WI 19557",379.431.5005x3148,tara39@example.org,Yes,2022-11-20,6494,Yes,Senior Citizen Health Insurance Plans
